----  ---------  -----------  -----------  ----------  ----------  -----------  ---------  ----------  ----------  ----------  -----------  ---------
      node_0     node_1       node_2       node_3      node_4      node_5       node_6     node_7      node_8      node_9      node_fake    P(t)
----  ---------  -----------  -----------  ----------  ----------  -----------  ---------  ----------  ----------  ----------  -----------  ---------
t=0   0          0            0            0           0           0            0          0           0           0           1            0
t=1   0.05       0            0            0           0           0            0          0           0           0           1            0.05
t=2   0.05       0            0            0           0           0            0.014      0           0           0           1            0.064
t=3   0.05       0            0            0           0.0063      0            0.014      0           0           0           1            0.0703
t=4   0.05       0.000504     0            0.00252     0.0063      0            0.014      0.00504     0           0.0005985   1            0.0789625
t=5   0.0500353  0.0005544    0            0.00252     0.0063      0.0003591    0.015764   0.00504     0.004536    0.0005985   1            0.0857073
t=6   0.0500375  0.000575946  0.00010773   0.00252     0.0073206   0.0003591    0.0157739  0.00504     0.004536    0.00102942  1            0.0873002
t=7   0.0500385  0.000661903  0.00010773   0.00292824  0.00732505  0.000617652  0.0157745  0.00585648  0.004536    0.00120825  1            0.0890543
t=8   0.0500444  0.000685937  0.000185296  0.00293002  0.00732533  0.000724951  0.0160606  0.00586004  0.00527083  0.00120867  1            0.0902961
t=9   0.0500455  0.000695536  0.000217485  0.00293013  0.00749079  0.000725204  0.0160635  0.00586026  0.00527403  0.00133746  1            0.0906399
t=10  0.0500459  0.000710078  0.000217561  0.00299632  0.00749226  0.000802476  0.0160638  0.00599263  0.00527424  0.00137795  1            0.0909733
t=11  0.0500469  0.000716158  0.000240743  0.0029969   0.00749244  0.000826768  0.0161103  0.0059938   0.00539337  0.00137816  1            0.0911956
t=12  0.0500472  0.000718569  0.00024803   0.00299698  0.0075193   0.000826898  0.016111   0.00599395  0.00539442  0.00140712  1            0.0912634
t=13  0.0500473  0.000721018  0.000248069  0.00300772  0.00751966  0.00084427   0.0161111  0.00601544  0.00539456  0.00141531  1            0.0913245
t=14  0.0500475  0.000722306  0.000253281  0.00300786  0.00751972  0.000849184  0.0161187  0.00601573  0.00541389  0.00141538  1            0.0913635
t=15  0.0500475  0.000722817  0.000254755  0.00300789  0.00752409  0.00084923   0.0161188  0.00601578  0.00541415  0.00142119  1            0.0913762
t=16  0.0500476  0.000723229  0.000254769  0.00300964  0.00752417  0.000852712  0.0161188  0.00601927  0.0054142   0.00142275  1            0.0913871
t=17  0.0500476  0.00072348   0.000255814  0.00300967  0.00752419  0.000853648  0.0161201  0.00601933  0.00541734  0.00142277  1            0.0913939
t=18  0.0500476  0.00072358   0.000256094  0.00300967  0.0075249   0.000853662  0.0161201  0.00601935  0.0054174   0.00142386  1            0.0913962
t=19  0.0500476  0.000723649  0.000256099  0.00300996  0.00752491  0.000854318  0.0161201  0.00601992  0.00541741  0.00142415  1            0.0913981
t=20  0.0500476  0.000723695  0.000256295  0.00300996  0.00752492  0.00085449   0.0161203  0.00601993  0.00541792  0.00142416  1            0.0913993
t=21  0.0500476  0.000723714  0.000256347  0.00300997  0.00752503  0.000854493  0.0161203  0.00601993  0.00541794  0.00142435  1            0.0913997
t=22  0.0500476  0.000723725  0.000256348  0.00301001  0.00752504  0.000854613  0.0161203  0.00602003  0.00541794  0.00142441  1            0.0914
t=23  0.0500476  0.000723734  0.000256384  0.00301001  0.00752504  0.000854643  0.0161203  0.00602003  0.00541802  0.00142441  1            0.0914002
t=24  0.0500476  0.000723737  0.000256393  0.00301001  0.00752505  0.000854644  0.0161203  0.00602003  0.00541803  0.00142444  1            0.0914003
t=25  0.0500476  0.000723739  0.000256393  0.00301002  0.00752506  0.000854665  0.0161203  0.00602004  0.00541803  0.00142445  1            0.0914004
t=26  0.0500476  0.000723741  0.0002564    0.00301002  0.00752506  0.000854671  0.0161203  0.00602004  0.00541804  0.00142445  1            0.0914004
t=27  0.0500476  0.000723741  0.000256401  0.00301002  0.00752506  0.000854671  0.0161203  0.00602004  0.00541804  0.00142446  1            0.0914004
t=28  0.0500476  0.000723741  0.000256401  0.00301002  0.00752506  0.000854675  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=29  0.0500476  0.000723742  0.000256402  0.00301002  0.00752506  0.000854676  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=30  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854676  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=31  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854676  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=32  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854676  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=33  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854676  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=34  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=35  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=36  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=37  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=38  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=39  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=40  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=41  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=42  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=43  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=44  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=45  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=46  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=47  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=48  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
t=49  0.0500476  0.000723742  0.000256403  0.00301002  0.00752506  0.000854677  0.0161203  0.00602005  0.00541804  0.00142446  1            0.0914004
