----  ----------  --------  -----------  -----------  ----------  -----------  ----------  ----------  -----------  -----------  -----------  --------
      node_0      node_1    node_2       node_3       node_4      node_5       node_6      node_7      node_8       node_9       node_fake    P(t)
----  ----------  --------  -----------  -----------  ----------  -----------  ----------  ----------  -----------  -----------  -----------  --------
t=0   0           0         0            0            0           0            0           0           0            0            1            0
t=1   0           0.1       0            0            0           0            0           0           0            0            1            0.1
t=2   0.009       0.1       0            0            0           0            0           0           0            0            1            0.109
t=3   0.009       0.1       0            0            0           0            0.00252     0           0            0            1            0.11152
t=4   0.009       0.1       0            0            0.001134    0            0.00252     0           0            0            1            0.112654
t=5   0.009       0.100045  0            0.0004536    0.001134    0            0.00252     0.0009072   0            0.00010773   1            0.114168
t=6   0.00900862  0.10005   0            0.0004536    0.001134    6.4638e-05   0.00283752  0.0009072   0.00081648   0.00010773   1            0.11538
t=7   0.00900903  0.100052  1.93914e-05  0.0004536    0.00131771  6.4638e-05   0.00283993  0.0009072   0.00081648   0.000185296  1            0.115665
t=8   0.0090092   0.10006   1.93914e-05  0.000527083  0.00131879  0.000111177  0.00284005  0.00105417  0.00081648   0.000217485  1            0.115973
t=9   0.00901063  0.100062  3.33532e-05  0.000527518  0.00131885  0.000130491  0.00289153  0.00105504  0.00094875   0.000217588  1            0.116195
t=10  0.00901083  0.100063  3.91474e-05  0.000527538  0.00134863  0.000130553  0.00289224  0.00105508  0.000949532  0.00024077   1            0.116257
t=11  0.00901091  0.100064  3.91659e-05  0.000539451  0.00134898  0.000144462  0.00289231  0.0010789   0.000949569  0.000248077  1            0.116316
t=12  0.00901115  0.100064  4.33386e-05  0.000539594  0.00134902  0.000148846  0.00290067  0.00107919  0.000971012  0.000248129  1            0.116355
t=13  0.0090112   0.100065  4.46539e-05  0.000539607  0.00135385  0.000148877  0.00290084  0.00107921  0.000971269  0.00025334   1            0.116368
t=14  0.00901122  0.100065  4.46632e-05  0.000541541  0.00135394  0.000152004  0.00290086  0.00108308  0.000971293  0.000254823  1            0.116378
t=15  0.00901126  0.100065  4.56012e-05  0.000541576  0.00135395  0.000152894  0.00290222  0.00108315  0.000974774  0.000254841  1            0.116385
t=16  0.00901127  0.100065  4.58682e-05  0.000541581  0.00135474  0.000152905  0.00290226  0.00108316  0.000974837  0.000255886  1            0.116388
t=17  0.00901127  0.100065  4.58714e-05  0.000541895  0.00135476  0.000153532  0.00290226  0.00108379  0.000974845  0.000256169  1            0.11639
t=18  0.00901128  0.100065  4.60595e-05  0.000541903  0.00135476  0.000153702  0.00290248  0.00108381  0.000975411  0.000256174  1            0.116391
t=19  0.00901128  0.100065  4.61105e-05  0.000541904  0.00135489  0.000153705  0.00290249  0.00108381  0.000975425  0.000256371  1            0.116391
t=20  0.00901128  0.100065  4.61114e-05  0.000541955  0.00135489  0.000153823  0.00290249  0.00108391  0.000975427  0.000256424  1            0.116391
t=21  0.00901128  0.100065  4.61469e-05  0.000541957  0.00135489  0.000153854  0.00290253  0.00108391  0.000975519  0.000256425  1            0.116392
t=22  0.00901128  0.100065  4.61563e-05  0.000541957  0.00135491  0.000153855  0.00290253  0.00108391  0.000975522  0.000256461  1            0.116392
t=23  0.00901128  0.100065  4.61565e-05  0.000541965  0.00135491  0.000153876  0.00290253  0.00108393  0.000975523  0.00025647   1            0.116392
t=24  0.00901128  0.100065  4.61629e-05  0.000541966  0.00135491  0.000153882  0.00290254  0.00108393  0.000975538  0.00025647   1            0.116392
t=25  0.00901128  0.100065  4.61646e-05  0.000541966  0.00135492  0.000153882  0.00290254  0.00108393  0.000975538  0.000256477  1            0.116392
t=26  0.00901128  0.100065  4.61647e-05  0.000541967  0.00135492  0.000153886  0.00290254  0.00108393  0.000975538  0.000256478  1            0.116392
t=27  0.00901128  0.100065  4.61658e-05  0.000541967  0.00135492  0.000153887  0.00290254  0.00108393  0.000975541  0.000256478  1            0.116392
t=28  0.00901128  0.100065  4.61661e-05  0.000541967  0.00135492  0.000153887  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=29  0.00901128  0.100065  4.61661e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=30  0.00901128  0.100065  4.61663e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=31  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=32  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=33  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=34  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=35  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=36  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=37  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=38  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=39  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=40  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=41  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=42  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=43  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=44  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=45  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=46  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=47  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=48  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=49  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
t=50  0.00901128  0.100065  4.61664e-05  0.000541967  0.00135492  0.000153888  0.00290254  0.00108393  0.000975541  0.00025648   1            0.116392
