----  -----------  ---------  --------  -----------  -----------  ---------  -----------  -----------  -----------  --------  -----------  --------
      node_0       node_1     node_2    node_3       node_4       node_5     node_6       node_7       node_8       node_9    node_fake    P(t)
----  -----------  ---------  --------  -----------  -----------  ---------  -----------  -----------  -----------  --------  -----------  --------
t=0   0            0          0         0            0            0          0            0            0            0         1            0
t=1   0            0          0.15      0            0            0          0            0            0            0         1            0.15
t=2   0            0.006      0.15      0            0            0          0            0            0            0.114     1            0.27
t=3   0.00054      0.006      0.15      0            0            0.0684     0            0            0            0.114     1            0.33894
t=4   0.00054      0.010104   0.16026   0            0            0.0684     0.0001512    0            0            0.114     1            0.353455
t=5   0.00090936   0.0105144  0.16026   0            6.804e-05    0.0684     0.0001512    0            0            0.121798  1            0.362101
t=6   0.000946296  0.0105198  0.16026   2.7216e-05   6.804e-05    0.0730786  0.000254621  5.4432e-05   0            0.121804  1            0.367013
t=7   0.000947058  0.0108011  0.160962  2.7216e-05   0.000114579  0.0730824  0.000284014  5.4432e-05   4.89888e-05  0.121804  1            0.368126
t=8   0.000972371  0.0108331  0.160962  4.58317e-05  0.000130256  0.0730824  0.000284227  9.16635e-05  4.89888e-05  0.122346  1            0.368798
t=9   0.00097544   0.0108348  0.160962  5.21023e-05  0.000130352  0.0734079  0.000304346  0.000104205  8.24971e-05  0.122348  1            0.369202
t=10  0.000975651  0.0108544  0.161011  5.21407e-05  0.000141081  0.0734091  0.000309595  0.000104281  9.37842e-05  0.122352  1            0.369303
t=11  0.000977421  0.0108573  0.161011  5.64323e-05  0.000144007  0.073411   0.000309681  0.000112865  9.38533e-05  0.122391  1            0.369365
t=12  0.000977723  0.0108578  0.161012  5.76027e-05  0.000144049  0.0734345  0.00031318   0.000115205  0.000101578  0.122391  1            0.369404
t=13  0.000977775  0.0108592  0.161015  5.76196e-05  0.00014601   0.0734347  0.000314084  0.000115239  0.000103685  0.122392  1            0.369416
t=14  0.000977905  0.0108595  0.161015  5.8404e-05   0.000146522  0.0734353  0.000314111  0.000116808  0.000103715  0.122395  1            0.369423
t=15  0.000977941  0.0108596  0.161015  5.86089e-05  0.000146536  0.0734372  0.000314696  0.000117218  0.000105127  0.122395  1            0.369428
t=16  0.000977952  0.0108597  0.161016  5.86142e-05  0.00014687   0.0734372  0.00031485   0.000117228  0.000105496  0.122396  1            0.369429
t=17  0.000977962  0.0108598  0.161016  5.87479e-05  0.000146957  0.0734373  0.000314856  0.000117496  0.000105506  0.122396  1            0.36943
t=18  0.000977967  0.0108598  0.161016  5.87829e-05  0.000146961  0.0734375  0.000314953  0.000117566  0.000105746  0.122396  1            0.369431
t=19  0.000977969  0.0108598  0.161016  5.87843e-05  0.000147016  0.0734375  0.000314979  0.000117569  0.000105809  0.122396  1            0.369431
t=20  0.00097797   0.0108598  0.161016  5.88065e-05  0.000147031  0.0734375  0.00031498   0.000117613  0.000105812  0.122396  1            0.369431
t=21  0.000977971  0.0108598  0.161016  5.88124e-05  0.000147032  0.0734375  0.000314996  0.000117625  0.000105852  0.122396  1            0.369431
t=22  0.000977971  0.0108598  0.161016  5.88127e-05  0.000147041  0.0734375  0.000315001  0.000117625  0.000105862  0.122396  1            0.369431
t=23  0.000977972  0.0108598  0.161016  5.88164e-05  0.000147043  0.0734375  0.000315001  0.000117633  0.000105863  0.122396  1            0.369431
t=24  0.000977972  0.0108598  0.161016  5.88173e-05  0.000147044  0.0734375  0.000315003  0.000117635  0.000105869  0.122396  1            0.369431
t=25  0.000977972  0.0108598  0.161016  5.88174e-05  0.000147045  0.0734375  0.000315004  0.000117635  0.000105871  0.122396  1            0.369431
t=26  0.000977972  0.0108598  0.161016  5.8818e-05   0.000147045  0.0734375  0.000315004  0.000117636  0.000105871  0.122396  1            0.369431
t=27  0.000977972  0.0108598  0.161016  5.88182e-05  0.000147045  0.0734375  0.000315005  0.000117636  0.000105872  0.122396  1            0.369431
t=28  0.000977972  0.0108598  0.161016  5.88182e-05  0.000147046  0.0734375  0.000315005  0.000117636  0.000105873  0.122396  1            0.369431
t=29  0.000977972  0.0108598  0.161016  5.88183e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=30  0.000977972  0.0108598  0.161016  5.88183e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=31  0.000977972  0.0108598  0.161016  5.88183e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=32  0.000977972  0.0108598  0.161016  5.88183e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=33  0.000977972  0.0108598  0.161016  5.88183e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=34  0.000977972  0.0108598  0.161016  5.88183e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=35  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=36  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=37  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=38  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=39  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=40  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=41  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=42  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=43  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=44  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=45  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=46  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=47  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=48  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=49  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
t=50  0.000977972  0.0108598  0.161016  5.88184e-05  0.000147046  0.0734375  0.000315005  0.000117637  0.000105873  0.122396  1            0.369431
