----  ----------  ----------  -----------  --------  ---------  -----------  ---------  ---------  ----------  ----------  -----------  --------
      node_0      node_1      node_2       node_3    node_4     node_5       node_6     node_7     node_8      node_9      node_fake    P(t)
----  ----------  ----------  -----------  --------  ---------  -----------  ---------  ---------  ----------  ----------  -----------  --------
t=0   0           0           0            0         0          0            0          0          0           0           1            0
t=1   0           0           0            0.2       0          0            0          0          0           0           1            0.2
t=2   0.002       0.004       0            0.2       0          0            0.028      0          0           0           1            0.234
t=3   0.00236     0.004       0            0.2       0.0126     0            0.02856    0          0           0           1            0.24752
t=4   0.00236     0.005008    0            0.20252   0.012852   0            0.0286608  0.01008    0           0.001197    1            0.262678
t=5   0.00247592  0.00507856  0            0.20257   0.0128974  0.0007182    0.031836   0.0102816  0.009072    0.00122094  1            0.276151
t=6   0.00248277  0.00512629  0.00021546   0.202579  0.0147798  0.000732564  0.031932   0.0103179  0.00925344  0.00208709  1            0.279507
t=7   0.00248716  0.00528655  0.000219769  0.202956  0.0148321  0.00125225   0.0319453  0.0118238  0.0092861   0.00244691  1            0.282536
t=8   0.00250535  0.00532961  0.000375676  0.202966  0.0148397  0.00146814   0.0324209  0.0118656  0.0106415   0.00245825  1            0.284871
t=9   0.00250933  0.00534962  0.000440443  0.202968  0.0151215  0.00147495   0.0324392  0.0118718  0.0106791   0.00270622  1            0.28556
t=10  0.00251115  0.00537519  0.000442485  0.203024  0.0151316  0.00162373   0.0324422  0.0120972  0.0106846   0.00278579  1            0.286118
t=11  0.00251401  0.00538614  0.00048712   0.203026  0.0151332  0.00167147   0.0325137  0.0121053  0.0108875   0.00278882  1            0.286514
t=12  0.00251502  0.00539096  0.000501442  0.203027  0.0151756  0.00167329   0.0325171  0.0121066  0.0108947   0.00284218  1            0.286643
t=13  0.00251545  0.00539503  0.000501988  0.203035  0.0151774  0.00170531   0.0325178  0.0121404  0.0108959   0.00285777  1            0.286742
t=14  0.0025159   0.00539729  0.000511592  0.203035  0.0151778  0.00171466   0.0325286  0.0121419  0.0109264   0.00285848  1            0.286808
t=15  0.00251611  0.00539828  0.000514399  0.203036  0.0151842  0.00171509   0.0325292  0.0121422  0.0109277   0.00286871  1            0.286831
t=16  0.0025162   0.00539893  0.000514526  0.203037  0.0151845  0.00172123   0.0325293  0.0121473  0.010928    0.00287158  1            0.286848
t=17  0.00251627  0.00539935  0.000516368  0.203037  0.0151846  0.00172295   0.0325309  0.0121476  0.0109326   0.00287173  1            0.286859
t=18  0.00251631  0.00539954  0.000516884  0.203037  0.0151856  0.00172304   0.0325311  0.0121477  0.0109328   0.00287357  1            0.286863
t=19  0.00251633  0.00539964  0.000516911  0.203037  0.0151856  0.00172414   0.0325311  0.0121484  0.0109329   0.00287408  1            0.286866
t=20  0.00251634  0.00539972  0.000517243  0.203037  0.0151856  0.00172445   0.0325313  0.0121485  0.0109336   0.00287411  1            0.286868
t=21  0.00251635  0.00539975  0.000517334  0.203037  0.0151858  0.00172447   0.0325314  0.0121485  0.0109336   0.00287443  1            0.286869
t=22  0.00251635  0.00539977  0.00051734   0.203037  0.0151858  0.00172466   0.0325314  0.0121486  0.0109337   0.00287452  1            0.286869
t=23  0.00251635  0.00539978  0.000517398  0.203037  0.0151858  0.00172471   0.0325314  0.0121486  0.0109338   0.00287453  1            0.28687
t=24  0.00251635  0.00539979  0.000517413  0.203037  0.0151858  0.00172472   0.0325314  0.0121486  0.0109338   0.00287458  1            0.28687
t=25  0.00251635  0.00539979  0.000517415  0.203037  0.0151858  0.00172475   0.0325314  0.0121487  0.0109338   0.00287459  1            0.28687
t=26  0.00251635  0.00539979  0.000517424  0.203037  0.0151858  0.00172476   0.0325314  0.0121487  0.0109338   0.0028746   1            0.28687
t=27  0.00251635  0.00539979  0.000517427  0.203037  0.0151858  0.00172476   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=28  0.00251635  0.00539979  0.000517427  0.203037  0.0151858  0.00172476   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=29  0.00251635  0.00539979  0.000517429  0.203037  0.0151858  0.00172476   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=30  0.00251635  0.00539979  0.000517429  0.203037  0.0151858  0.00172476   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=31  0.00251635  0.00539979  0.000517429  0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=32  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=33  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=34  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=35  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=36  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=37  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=38  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=39  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=40  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=41  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=42  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=43  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=44  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=45  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=46  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=47  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=48  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=49  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=50  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
t=51  0.00251635  0.00539979  0.00051743   0.203037  0.0151858  0.00172477   0.0325314  0.0121487  0.0109338   0.00287461  1            0.28687
