----  ----------  ---------  ----------  --------  --------  ---------  ---------  --------  --------  ---------  -----------  --------
      node_0      node_1     node_2      node_3    node_4    node_5     node_6     node_7    node_8    node_9     node_fake    P(t)
----  ----------  ---------  ----------  --------  --------  ---------  ---------  --------  --------  ---------  -----------  --------
t=0   0           0          0           0         0         0          0          0         0         0          1            0
t=1   0           0          0           0         0.25      0          0          0         0         0          1            0.25
t=2   0           0.02       0           0.1       0.25      0          0          0.2       0         0.02375    1            0.59375
t=3   0.0028      0.022      0           0.1       0.25      0.01425    0.07       0.2       0.18      0.02375    1            0.8628
t=4   0.00298     0.022855   0.004275    0.1       0.27025   0.01425    0.070784   0.2       0.18      0.04085    1            0.906244
t=5   0.00305695  0.024646   0.004275    0.1081    0.270426  0.02451    0.0708344  0.2162    0.18      0.0460228  1            0.948071
t=6   0.00329914  0.0254377  0.007353    0.108171  0.270438  0.0276137  0.0765259  0.216341  0.19458   0.0460395  1            0.975798
t=7   0.0033711   0.0257494  0.0082841   0.108175  0.272083  0.0276237  0.0766432  0.21635   0.194707  0.049765   1            0.982752
t=8   0.00339919  0.0259189  0.00828711  0.108833  0.272112  0.029859   0.0766665  0.217666  0.194715  0.0506409  1            0.988099
t=9   0.00342103  0.0260687  0.00895769  0.108845  0.272118  0.0303846  0.077135   0.21769   0.1959    0.0506468  1            0.991166
t=10  0.00343463  0.0261277  0.00911537  0.108847  0.272253  0.0303881  0.0771494  0.217694  0.195921  0.0512695  1            0.9922
t=11  0.00343997  0.0261451  0.00911643  0.108901  0.272257  0.0307617  0.0771547  0.217802  0.195925  0.0514042  1            0.992907
t=12  0.00344207  0.0261689  0.00922851  0.108903  0.272258  0.0308425  0.077194   0.217805  0.196022  0.0514057  1            0.99327
t=13  0.00344423  0.0261784  0.00925275  0.108903  0.272269  0.0308434  0.0771956  0.217806  0.196025  0.0515003  1            0.993418
t=14  0.00344509  0.0261803  0.00925303  0.108908  0.27227   0.0309002  0.0771966  0.217815  0.196026  0.05152    1            0.993514
t=15  0.00344531  0.0261839  0.00927005  0.108908  0.27227   0.030912   0.0772     0.217816  0.196034  0.0515204  1            0.993559
t=16  0.00344563  0.0261853  0.0092736   0.108908  0.272271  0.0309122  0.0772002  0.217816  0.196034  0.0515341  1            0.99358
t=17  0.00344575  0.0261855  0.00927366  0.108908  0.272271  0.0309205  0.0772003  0.217817  0.196034  0.0515369  1            0.993593
t=18  0.00344578  0.026186   0.00927614  0.108908  0.272271  0.0309221  0.0772006  0.217817  0.196035  0.051537   1            0.993599
t=19  0.00344582  0.0261862  0.00927664  0.108908  0.272271  0.0309222  0.0772007  0.217817  0.196035  0.0515389  1            0.993602
t=20  0.00344584  0.0261862  0.00927666  0.108908  0.272271  0.0309234  0.0772007  0.217817  0.196035  0.0515393  1            0.993603
t=21  0.00344585  0.0261863  0.00927701  0.108908  0.272271  0.0309236  0.0772007  0.217817  0.196035  0.0515393  1            0.993604
t=22  0.00344585  0.0261863  0.00927708  0.108908  0.272271  0.0309236  0.0772007  0.217817  0.196035  0.0515396  1            0.993605
t=23  0.00344586  0.0261864  0.00927708  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=24  0.00344586  0.0261864  0.00927713  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=25  0.00344586  0.0261864  0.00927714  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=26  0.00344586  0.0261864  0.00927714  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=27  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=28  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=29  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=30  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=31  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=32  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=33  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=34  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=35  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=36  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=37  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=38  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=39  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=40  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=41  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=42  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=43  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=44  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=45  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=46  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=47  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=48  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=49  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=50  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=51  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=52  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
t=53  0.00344586  0.0261864  0.00927715  0.108908  0.272271  0.0309238  0.0772007  0.217817  0.196035  0.0515397  1            0.993605
