----  ----------  ---------  ---------  -----------  -----------  --------  -----------  -----------  -----------  ---------  -----------  --------
      node_0      node_1     node_2     node_3       node_4       node_5    node_6       node_7       node_8       node_9     node_fake    P(t)
----  ----------  ---------  ---------  -----------  -----------  --------  -----------  -----------  -----------  ---------  -----------  --------
t=0   0           0          0          0            0            0         0            0            0            0          1            0
t=1   0           0          0          0            0            0.3       0            0            0            0          1            0.3
t=2   0           0.018      0.09       0            0            0.3       0            0            0            0          1            0.408
t=3   0.00162     0.0216     0.09       0            0            0.3       0            0            0            0.0684     1            0.48162
t=4   0.001944    0.0216     0.09       0            0            0.32052   0.0004536    0            0            0.0684     1            0.502918
t=5   0.001944    0.0228312  0.096156   0            0.00020412   0.32052   0.00054432   0            0            0.0684     1            0.5106
t=6   0.00205481  0.0230938  0.096156   8.1648e-05   0.000244944  0.32052   0.00054432   0.000163296  0            0.073098   1            0.515957
t=7   0.00207926  0.0230987  0.096156   9.79776e-05  0.000244944  0.321929  0.0006325    0.000195955  0.000146966  0.0731018  1            0.517683
t=8   0.00207986  0.0231836  0.0965788  9.79776e-05  0.000291973  0.321931  0.000650776  0.000195955  0.00017636   0.0731158  1            0.518302
t=9   0.0020875   0.0232043  0.0965792  0.000116789  0.000301667  0.321935  0.000650945  0.000233579  0.00017636   0.0734444  1            0.518729
t=10  0.00208956  0.0232057  0.0965804  0.000120667  0.000301743  0.322033  0.000666253  0.000241334  0.000210221  0.0734456  1            0.518895
t=11  0.00208972  0.0232118  0.09661    0.000120697  0.000310325  0.322034  0.000669542  0.000241395  0.0002172    0.0734498  1            0.518954
t=12  0.00209027  0.0232137  0.0966101  0.00012413   0.000312154  0.322035  0.00066961   0.00024826   0.000217255  0.0734737  1            0.518994
t=13  0.00209047  0.023214   0.0966105  0.000124862  0.000312187  0.322042  0.000672165  0.000249723  0.000223434  0.073474   1            0.519013
t=14  0.0020905   0.0232144  0.0966126  0.000124875  0.000313646  0.322042  0.000672735  0.00024975   0.000224751  0.0734748  1            0.51902
t=15  0.00209055  0.0232146  0.0966127  0.000125458  0.000313968  0.322042  0.000672754  0.000250917  0.000224775  0.0734767  1            0.519025
t=16  0.00209057  0.0232147  0.0966127  0.000125587  0.000313978  0.322043  0.000673174  0.000251175  0.000225825  0.0734768  1            0.519028
t=17  0.00209058  0.0232147  0.0966129  0.000125591  0.00031422   0.322043  0.000673271  0.000251182  0.000226057  0.073477   1            0.519029
t=18  0.00209058  0.0232147  0.0966129  0.000125688  0.000314275  0.322043  0.000673275  0.000251376  0.000226064  0.0734771  1            0.519029
t=19  0.00209058  0.0232148  0.0966129  0.00012571   0.000314277  0.322043  0.000673344  0.00025142   0.000226238  0.0734771  1            0.51903
t=20  0.00209059  0.0232148  0.0966129  0.000125711  0.000314317  0.322043  0.000673361  0.000251422  0.000226278  0.0734772  1            0.51903
t=21  0.00209059  0.0232148  0.0966129  0.000125727  0.000314326  0.322043  0.000673361  0.000251453  0.00022628   0.0734772  1            0.51903
t=22  0.00209059  0.0232148  0.0966129  0.00012573   0.000314327  0.322043  0.000673373  0.000251461  0.000226308  0.0734772  1            0.51903
t=23  0.00209059  0.0232148  0.0966129  0.000125731  0.000314333  0.322043  0.000673375  0.000251461  0.000226315  0.0734772  1            0.51903
t=24  0.00209059  0.0232148  0.0966129  0.000125733  0.000314335  0.322043  0.000673376  0.000251466  0.000226315  0.0734772  1            0.51903
t=25  0.00209059  0.0232148  0.0966129  0.000125734  0.000314335  0.322043  0.000673377  0.000251468  0.00022632   0.0734772  1            0.51903
t=26  0.00209059  0.0232148  0.0966129  0.000125734  0.000314336  0.322043  0.000673378  0.000251468  0.000226321  0.0734772  1            0.51903
t=27  0.00209059  0.0232148  0.0966129  0.000125734  0.000314336  0.322043  0.000673378  0.000251469  0.000226321  0.0734772  1            0.51903
t=28  0.00209059  0.0232148  0.0966129  0.000125734  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=29  0.00209059  0.0232148  0.0966129  0.000125734  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=30  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=31  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=32  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=33  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=34  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=35  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=36  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=37  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=38  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=39  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=40  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=41  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=42  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=43  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=44  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=45  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=46  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=47  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=48  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=49  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=50  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
t=51  0.00209059  0.0232148  0.0966129  0.000125735  0.000314336  0.322043  0.000673378  0.000251469  0.000226322  0.0734772  1            0.51903
