----  ----------  ---------  ----------  ---------  --------  ---------  --------  --------  --------  ---------  -----------  --------
      node_0      node_1     node_2      node_3     node_4    node_5     node_6    node_7    node_8    node_9     node_fake    P(t)
----  ----------  ---------  ----------  ---------  --------  ---------  --------  --------  --------  ---------  -----------  --------
t=0   0           0          0           0          0         0          0         0         0         0          1            0
t=1   0           0          0           0          0         0          0.35      0         0         0          1            0.35
t=2   0           0          0           0          0.1575    0          0.35      0         0         0          1            0.5075
t=3   0           0.0126     0           0.063      0.1575    0          0.35      0.126     0         0.0149625  1            0.724062
t=4   0.001764    0.01386    0           0.063      0.1575    0.0089775  0.37205   0.126     0.1134    0.0149625  1            0.871514
t=5   0.0018774   0.0143987  0.00269325  0.063      0.173093  0.0089775  0.372297  0.126     0.1134    0.0257355  1            0.901472
t=6   0.00192588  0.0157538  0.00269325  0.069237   0.173204  0.0154413  0.372313  0.138474  0.1134    0.0292637  1            0.931705
t=7   0.00211021  0.0162752  0.00463239  0.0692815  0.173211  0.0175582  0.374503  0.138563  0.124627  0.0292742  1            0.950035
t=8   0.00215759  0.0164813  0.00526746  0.0692843  0.174757  0.0175645  0.374544  0.138569  0.124707  0.0318152  1            0.955147
t=9   0.00217616  0.0166309  0.00526936  0.069903   0.17478   0.0190891  0.374552  0.139806  0.124712  0.0324524  1            0.95937
t=10  0.00219581  0.0167366  0.00572673  0.069912   0.174784  0.0194714  0.374771  0.139824  0.125825  0.0324564  1            0.961703
t=11  0.00220541  0.0167783  0.00584142  0.0699135  0.174938  0.0194739  0.374777  0.139827  0.125842  0.0329102  1            0.962506
t=12  0.00220918  0.0167954  0.00584216  0.0699752  0.174942  0.0197461  0.374778  0.13995   0.125844  0.0330136  1            0.963097
t=13  0.00221134  0.0168133  0.00592383  0.0699766  0.174943  0.0198081  0.374801  0.139953  0.125955  0.0330147  1            0.9634
t=14  0.00221296  0.0168204  0.00594244  0.069977   0.174958  0.0198088  0.374801  0.139954  0.125958  0.0330874  1            0.96352
t=15  0.0022136   0.0168224  0.00594265  0.0699832  0.174959  0.0198525  0.374802  0.139966  0.125959  0.0331033  1            0.963603
t=16  0.00221385  0.0168252  0.00595574  0.0699834  0.174959  0.019862   0.374804  0.139967  0.12597   0.0331035  1            0.963643
t=17  0.0022141   0.0168263  0.00595859  0.0699835  0.17496   0.0198621  0.374804  0.139967  0.12597   0.0331146  1            0.963661
t=18  0.0022142   0.0168266  0.00595864  0.0699841  0.17496   0.0198687  0.374804  0.139968  0.12597   0.0331169  1            0.963672
t=19  0.00221423  0.016827   0.00596062  0.0699841  0.17496   0.0198702  0.374804  0.139968  0.125971  0.033117   1            0.963678
t=20  0.00221427  0.0168271  0.00596105  0.0699842  0.174961  0.0198702  0.374804  0.139968  0.125971  0.0331186  1            0.96368
t=21  0.00221429  0.0168272  0.00596106  0.0699842  0.174961  0.0198712  0.374804  0.139968  0.125971  0.0331189  1            0.963682
t=22  0.00221429  0.0168272  0.00596135  0.0699842  0.174961  0.0198714  0.374804  0.139968  0.125972  0.0331189  1            0.963683
t=23  0.00221429  0.0168273  0.00596141  0.0699842  0.174961  0.0198714  0.374804  0.139968  0.125972  0.0331192  1            0.963683
t=24  0.0022143   0.0168273  0.00596141  0.0699842  0.174961  0.0198715  0.374804  0.139968  0.125972  0.0331192  1            0.963683
t=25  0.0022143   0.0168273  0.00596145  0.0699842  0.174961  0.0198715  0.374804  0.139968  0.125972  0.0331192  1            0.963683
t=26  0.0022143   0.0168273  0.00596146  0.0699842  0.174961  0.0198715  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=27  0.0022143   0.0168273  0.00596146  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=28  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=29  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=30  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=31  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=32  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=33  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=34  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=35  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=36  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=37  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=38  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=39  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=40  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=41  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=42  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=43  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=44  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=45  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=46  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=47  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=48  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=49  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=50  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=51  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=52  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
t=53  0.0022143   0.0168273  0.00596147  0.0699842  0.174961  0.0198716  0.374804  0.139968  0.125972  0.0331193  1            0.963683
