----  -----------  ----------  ----------  ---------  ---------  ---------  --------  --------  --------  ---------  -----------  -------
      node_0       node_1      node_2      node_3     node_4     node_5     node_6    node_7    node_8    node_9     node_fake    P(t)
----  -----------  ----------  ----------  ---------  ---------  ---------  --------  --------  --------  ---------  -----------  -------
t=0   0            0           0           0          0          0          0         0         0         0          1            0
t=1   0            0           0           0          0          0          0         0.4       0         0          1            0.4
t=2   0            0           0           0          0          0          0.112     0.4       0.36      0          1            0.872
t=3   0            0           0           0          0.0684     0          0.112     0.4       0.36      0.0342     1            0.9746
t=4   0            0.005472    0           0.02736    0.0684     0.02052    0.112     0.42736   0.36      0.040698   1            1.06181
t=5   0.00076608   0.0072504   0.006156    0.02736    0.0684     0.0244188  0.123491  0.42736   0.384624  0.040698   1            1.11052
t=6   0.000926136  0.00773057  0.00732564  0.02736    0.0748022  0.0244188  0.123706  0.42736   0.384624  0.0477158  1            1.12597
t=7   0.000969351  0.00828953  0.00732564  0.0299209  0.0748988  0.0286295  0.123751  0.429921  0.384624  0.049213   1            1.13754
t=8   0.00104527   0.00860112  0.00858885  0.0299595  0.0749189  0.0295278  0.124838  0.42996   0.386929  0.0492221  1            1.14359
t=9   0.0010737    0.00870793  0.00885834  0.0299676  0.0755236  0.0295333  0.124876  0.429968  0.386964  0.0504031  1            1.14587
t=10  0.00108339   0.00876757  0.00885999  0.0302095  0.0755422  0.0302418  0.124887  0.430209  0.386971  0.0506686  1            1.14744
t=11  0.00109118   0.00881648  0.00907255  0.0302169  0.0755477  0.0304012  0.124991  0.430217  0.387189  0.0506723  1            1.14822
t=12  0.00109565   0.00883513  0.00912035  0.0302191  0.0756055  0.0304034  0.124997  0.430219  0.387195  0.0508551  1            1.14855
t=13  0.00109735   0.00884184  0.00912102  0.0302422  0.0756082  0.030513   0.124999  0.430242  0.387197  0.0508975  1            1.14876
t=14  0.00109819   0.00884913  0.00915391  0.0302433  0.0756093  0.0305385  0.125009  0.430243  0.387218  0.0508985  1            1.14886
t=15  0.00109885   0.00885208  0.00916156  0.0302437  0.0756149  0.0305391  0.12501   0.430244  0.387219  0.0509256  1            1.14891
t=16  0.00109912   0.00885288  0.00916173  0.030246   0.0756153  0.0305553  0.12501   0.430246  0.387219  0.050932   1            1.14894
t=17  0.00109922   0.00885393  0.0091666   0.0302461  0.0756155  0.0305592  0.125011  0.430246  0.387221  0.0509322  1            1.14895
t=18  0.00109932   0.00885438  0.00916776  0.0302462  0.075616   0.0305593  0.125011  0.430246  0.387222  0.0509361  1            1.14896
t=19  0.00109936   0.00885448  0.0091678   0.0302464  0.0756161  0.0305617  0.125011  0.430246  0.387222  0.0509371  1            1.14896
t=20  0.00109937   0.00885463  0.0091685   0.0302464  0.0756161  0.0305622  0.125011  0.430246  0.387222  0.0509371  1            1.14896
t=21  0.00109938   0.00885469  0.00916867  0.0302464  0.0756162  0.0305623  0.125011  0.430246  0.387222  0.0509377  1            1.14896
t=22  0.00109939   0.00885471  0.00916868  0.0302465  0.0756162  0.0305626  0.125011  0.430246  0.387222  0.0509378  1            1.14897
t=23  0.00109939   0.00885473  0.00916878  0.0302465  0.0756162  0.0305627  0.125011  0.430246  0.387222  0.0509378  1            1.14897
t=24  0.00109939   0.00885474  0.0091688   0.0302465  0.0756162  0.0305627  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=25  0.00109939   0.00885474  0.0091688   0.0302465  0.0756162  0.0305627  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=26  0.00109939   0.00885474  0.00916882  0.0302465  0.0756162  0.0305627  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=27  0.00109939   0.00885474  0.00916882  0.0302465  0.0756162  0.0305627  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=28  0.00109939   0.00885474  0.00916882  0.0302465  0.0756162  0.0305627  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=29  0.00109939   0.00885474  0.00916882  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=30  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=31  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=32  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=33  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=34  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=35  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=36  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=37  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=38  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=39  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=40  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=41  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=42  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=43  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=44  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=45  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=46  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=47  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=48  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=49  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=50  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=51  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
t=52  0.00109939   0.00885474  0.00916883  0.0302465  0.0756162  0.0305628  0.125011  0.430246  0.387222  0.0509379  1            1.14897
