----  -----------  ----------  ----------  ---------  ---------  ---------  ----------  ---------  --------  ---------  -----------  --------
      node_0       node_1      node_2      node_3     node_4     node_5     node_6      node_7     node_8    node_9     node_fake    P(t)
----  -----------  ----------  ----------  ---------  ---------  ---------  ----------  ---------  --------  ---------  -----------  --------
t=0   0            0           0           0          0          0          0           0          0         0          1            0
t=1   0            0           0           0          0          0          0           0          0.45      0          1            0.45
t=2   0            0           0           0          0.0225     0          0           0          0.45      0.04275    1            0.51525
t=3   0            0.0018      0           0.009      0.0225     0.02565    0           0.018      0.45      0.0448875  1            0.571837
t=4   0.000252     0.003519    0.007695    0.009      0.0225     0.0269325  0.0063      0.018      0.4581    0.0448875  1            0.597186
t=5   0.00040671   0.00390375  0.00807975  0.009      0.02574    0.0269325  0.00637056  0.018      0.4581    0.0515052  1            0.608038
t=6   0.000441338  0.00417834  0.00807975  0.010296   0.0257718  0.0309031  0.00641388  0.020592   0.4581    0.0521054  1            0.616882
t=7   0.000479011  0.00444504  0.00927094  0.0103087  0.0257912  0.0312632  0.00733077  0.0206174  0.459266  0.0521084  1            0.620881
t=8   0.00050314   0.00451611  0.00937897  0.0103165  0.0262622  0.0312651  0.00735021  0.020633   0.459278  0.0531264  1            0.622629
t=9   0.000509615  0.00455837  0.00937952  0.0105049  0.0262715  0.0318758  0.00736243  0.0210097  0.459285  0.0532543  1            0.624011
t=10  0.000515302  0.00459955  0.00956275  0.0105086  0.0262773  0.0319526  0.0074961   0.0210172  0.459454  0.0532563  1            0.62464
t=11  0.000519045  0.00461202  0.00958578  0.0105109  0.026346   0.0319538  0.0075003   0.0210219  0.459458  0.0534122  1            0.62492
t=12  0.000520192  0.00461855  0.00958613  0.0105384  0.026348   0.0320473  0.00750299  0.0210768  0.45946   0.0534365  1            0.625135
t=13  0.000521054  0.00462489  0.0096142   0.0105392  0.0263493  0.0320619  0.00752252  0.0210784  0.459485  0.0534372  1            0.625233
t=14  0.000521633  0.00462701  0.00961858  0.0105397  0.0263594  0.0320623  0.00752334  0.0210795  0.459485  0.053461   1            0.625278
t=15  0.000521829  0.00462803  0.0096187   0.0105437  0.0263598  0.0320766  0.00752387  0.0210875  0.459486  0.0534654  1            0.625311
t=16  0.00052196   0.004629    0.00962298  0.0105439  0.02636    0.0320792  0.00752673  0.0210878  0.459489  0.0534655  1            0.625327
t=17  0.000522049  0.00462935  0.00962376  0.010544   0.0263615  0.0320793  0.00752688  0.021088   0.45949   0.0534692  1            0.625334
t=18  0.000522082  0.00462951  0.0096238   0.0105446  0.0263616  0.0320815  0.00752698  0.0210892  0.45949   0.0534699  1            0.625339
t=19  0.000522102  0.00462966  0.00962445  0.0105446  0.0263616  0.0320819  0.0075274   0.0210893  0.45949   0.0534699  1            0.625341
t=20  0.000522116  0.00462972  0.00962458  0.0105446  0.0263618  0.032082   0.00752743  0.0210893  0.45949   0.0534705  1            0.625342
t=21  0.000522121  0.00462974  0.00962459  0.0105447  0.0263619  0.0320823  0.00752745  0.0210895  0.45949   0.0534706  1            0.625343
t=22  0.000522124  0.00462976  0.00962469  0.0105447  0.0263619  0.0320824  0.00752751  0.0210895  0.45949   0.0534706  1            0.625343
t=23  0.000522126  0.00462977  0.00962471  0.0105447  0.0263619  0.0320824  0.00752751  0.0210895  0.45949   0.0534707  1            0.625344
t=24  0.000522127  0.00462978  0.00962471  0.0105448  0.0263619  0.0320824  0.00752752  0.0210895  0.45949   0.0534707  1            0.625344
t=25  0.000522128  0.00462978  0.00962473  0.0105448  0.0263619  0.0320824  0.00752753  0.0210895  0.45949   0.0534707  1            0.625344
t=26  0.000522128  0.00462978  0.00962473  0.0105448  0.0263619  0.0320824  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=27  0.000522128  0.00462978  0.00962473  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=28  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=29  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=30  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=31  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=32  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=33  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=34  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=35  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=36  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=37  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=38  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=39  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=40  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=41  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=42  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=43  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=44  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=45  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=46  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=47  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=48  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=49  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
t=50  0.000522128  0.00462978  0.00962474  0.0105448  0.0263619  0.0320825  0.00752753  0.0210895  0.45949   0.0534708  1            0.625344
