----  ----------  ---------  ---------  -----------  -----------  --------  -----------  -----------  -----------  --------  -----------  --------
      node_0      node_1     node_2     node_3       node_4       node_5    node_6       node_7       node_8       node_9    node_fake    P(t)
----  ----------  ---------  ---------  -----------  -----------  --------  -----------  -----------  -----------  --------  -----------  --------
t=0   0           0          0          0            0            0         0            0            0            0         1            0
t=1   0           0          0          0            0            0         0            0            0            0.475     1            0.475
t=2   0           0          0          0            0            0.285     0            0            0            0.475     1            0.76
t=3   0           0.0171     0.0855     0            0            0.285     0            0            0            0.475     1            0.8626
t=4   0.001539    0.02052    0.0855     0            0            0.285     0            0            0            0.50749   1            0.900049
t=5   0.0018468   0.02052    0.0855     0            0            0.304494  0.00043092   0            0            0.50749   1            0.920282
t=6   0.0018468   0.0216896  0.0913482  0            0.000193914  0.304494  0.000517104  0            0            0.50749   1            0.92758
t=7   0.00195207  0.0219391  0.0913482  7.75656e-05  0.000232697  0.304494  0.000517104  0.000155131  0            0.509722  1            0.930437
t=8   0.00197529  0.0219437  0.0913482  9.30787e-05  0.000232697  0.305833  0.000600875  0.000186157  0.000139618  0.509723  1            0.932076
t=9   0.00197587  0.0220244  0.0917499  9.30787e-05  0.000277375  0.305834  0.000618237  0.000186157  0.000167542  0.50973   1            0.932657
t=10  0.00198313  0.0220441  0.0917502  0.00011095   0.000286584  0.305838  0.000618398  0.0002219    0.000167542  0.509886  1            0.932907
t=11  0.00198508  0.0220454  0.0917514  0.000114634  0.000286656  0.305932  0.00063294   0.000229267  0.00019971   0.509887  1            0.933063
t=12  0.00198524  0.0220512  0.0917795  0.000114662  0.000294808  0.305932  0.000636065  0.000229325  0.00020634   0.509889  1            0.933118
t=13  0.00198575  0.022053   0.0917796  0.000117923  0.000296546  0.305933  0.00063613   0.000235847  0.000206392  0.5099    1            0.933144
t=14  0.00198595  0.0220533  0.09178    0.000118619  0.000296578  0.30594   0.000638557  0.000237237  0.000212262  0.5099    1            0.933163
t=15  0.00198598  0.0220537  0.091782   0.000118631  0.000297964  0.30594   0.000639098  0.000237262  0.000213513  0.509901  1            0.933169
t=16  0.00198602  0.0220539  0.091782   0.000119186  0.00029827   0.30594   0.000639116  0.000238371  0.000213536  0.509901  1            0.933172
t=17  0.00198604  0.0220539  0.0917821  0.000119308  0.000298279  0.305941  0.000639515  0.000238616  0.000214534  0.509901  1            0.933175
t=18  0.00198605  0.022054   0.0917823  0.000119312  0.000298509  0.305941  0.000639607  0.000238623  0.000214754  0.509902  1            0.933176
t=19  0.00198605  0.022054   0.0917823  0.000119403  0.000298561  0.305941  0.000639612  0.000238807  0.000214761  0.509902  1            0.933176
t=20  0.00198605  0.022054   0.0917823  0.000119424  0.000298563  0.305941  0.000639677  0.000238849  0.000214926  0.509902  1            0.933176
t=21  0.00198606  0.022054   0.0917823  0.000119425  0.000298601  0.305941  0.000639692  0.000238851  0.000214964  0.509902  1            0.933177
t=22  0.00198606  0.022054   0.0917823  0.00011944   0.00029861   0.305941  0.000639693  0.000238881  0.000214966  0.509902  1            0.933177
t=23  0.00198606  0.022054   0.0917823  0.000119444  0.00029861   0.305941  0.000639704  0.000238888  0.000214993  0.509902  1            0.933177
t=24  0.00198606  0.022054   0.0917823  0.000119444  0.000298616  0.305941  0.000639707  0.000238888  0.000214999  0.509902  1            0.933177
t=25  0.00198606  0.022054   0.0917823  0.000119447  0.000298618  0.305941  0.000639707  0.000238893  0.000214999  0.509902  1            0.933177
t=26  0.00198606  0.022054   0.0917823  0.000119447  0.000298618  0.305941  0.000639709  0.000238894  0.000215004  0.509902  1            0.933177
t=27  0.00198606  0.022054   0.0917823  0.000119447  0.000298619  0.305941  0.000639709  0.000238894  0.000215005  0.509902  1            0.933177
t=28  0.00198606  0.022054   0.0917823  0.000119448  0.000298619  0.305941  0.000639709  0.000238895  0.000215005  0.509902  1            0.933177
t=29  0.00198606  0.022054   0.0917823  0.000119448  0.000298619  0.305941  0.000639709  0.000238895  0.000215006  0.509902  1            0.933177
t=30  0.00198606  0.022054   0.0917823  0.000119448  0.000298619  0.305941  0.000639709  0.000238895  0.000215006  0.509902  1            0.933177
t=31  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.000639709  0.000238896  0.000215006  0.509902  1            0.933177
t=32  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.000639709  0.000238896  0.000215006  0.509902  1            0.933177
t=33  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.000639709  0.000238896  0.000215006  0.509902  1            0.933177
t=34  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=35  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=36  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=37  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=38  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=39  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=40  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=41  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=42  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=43  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=44  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=45  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=46  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=47  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=48  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=49  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=50  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=51  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
t=52  0.00198606  0.022054   0.0917823  0.000119448  0.00029862   0.305941  0.00063971   0.000238896  0.000215006  0.509902  1            0.933177
